GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
laskin,Laskin,Main,7,0,0,0,3,0,2,0,2,0
laskin,Laskin,Laskin,7,74,0,4,2,22,1,12,1,10
